ID,Fecha,tipo,categoria,valor,notas
69034b0c,6/09/2026,INGRESO,Tatuaje,180000,Felix retrato
964b33a6,6/09/2026,INGRESO,Piercing,25000,Nariz
834d873b,6/09/2026,GASTO,Comida,20000,Almuerzo y dulces
7e7c796d,6/09/2026,INGRESO,Piercing,60000,Steven
1c535a7c,7/09/2026,GASTO,Comida,36500,Carne y verdura
dc841289,7/09/2026,INGRESO,Tatuaje,600000,Diana hombro
613dda76,7/09/2026,GASTO,Comida,11000,Desayuno
c21f75e5,7/09/2026,INGRESO,Tatuajes,170000,Jhoan Alejandra
dcba9158,7/09/2026,INGRESO,Piercing,30000,Lengua
61e405f3,7/09/2026,GASTO,Comida,39500,Amor hamburguesa chuzo
8c49b3fe,8/09/2026,GASTO,Comida,58400,Agua y escoba etc
968bb34a,8/09/2026,INGRESO,Tatuajes,400000,Esteban Angela y santiago
84d6ce78,9/09/2026,GASTO,Moto,114000,Repuesto velocímetro
0f1dbe14,8/09/2026,GASTO,Comida,10700,Dulces
49fe5144,9/09/2026,GASTO,Casa,90000,Gym
bc874051,9/09/2026,GASTO,Comida,41300,Pollo y verduras
e9ba94a2,9/09/2026,GASTO,Casa,6000,Bolsa basuras
1a4670d4,9/09/2026,INGRESO,Tatuaje,300000,Nombres y mano
7f233656,9/09/2026,GASTO,Comida,17500,Galletas leche
780a9077,10/09/2026,INGRESO,Tatuaje,350000,Leonel Nickol juan
2719cf1b,10/09/2026,INGRESO,Piercing,25000,Migraña
3205fb43,10/09/2026,GASTO,Comida,46500,Amor pollito
ccf7c591,11/09/2026,INGRESO,Tatuaje,250000,Sobrino harold
5c3902d3,11/09/2026,GASTO,Comida,12200,Maní y plátano
aa4a1fde,11/09/2026,INGRESO,Tatuaje,450000,Shell y antebrazo
624cf60a,12/09/2026,INGRESO,Tatuaje,300000,Costilla
19c61c74,12/09/2026,GASTO,Comida,13000,Desayuno
b38e5582,12/09/2026,GASTO,Comida,32000,Almuerzo
2abe93f2,12/09/2026,GASTO,Comida,148200,Whisky y papitas
ef1fc09f,13/09/2026,INGRESO,Tatuaje,400000,Antebrazo
431662b1,13/09/2026,GASTO,Comida,35000,Desayuno y almuerzo
a92f8508,13/09/2026,GASTO,Comida,11000,Pan y galleta
